column,missing_count,missing_percentage
rul_days,564002,20.53486582114778
oil_pressure,34318,1.2494911813258631
ambient_temperature,34262,1.2474522657085705
rpm,34246,1.246869718389344
vibration,34223,1.2460323066179562
motor_current,34214,1.245704623750891
bearing_index,34179,1.2444303014900833
discharge_pressure,34169,1.2440662094155668
overall_vibration,34142,1.2430831608143722
oil_particles_ppm,34126,1.2425006134951455
bearing_temperature,34076,1.2406801531225629
lng_output_tph,34060,1.2400976058033364
feed_gas_pressure,34029,1.238968920372335
row_id,0,0.0
timestamp,0,0.0
area,0,0.0
equipment_type,0,0.0
equipment_name,0,0.0
equipment_id,0,0.0
train,0,0.0
cumulative_op_hours,0,0.0
operating_state,0,0.0
hours_since_maint,0,0.0
asset_age_years,0,0.0
manufacturer,0,0.0
commission_year,0,0.0
criticality,0,0.0
load_factor,0,0.0
rul_censored,0,0.0
failure_within_24h,0,0.0
failure_within_72h,0,0.0
failure_within_7d,0,0.0
is_running,0,0.0
wear_level,0,0.0
wear_state,0,0.0
failure_rate,0,0.0
lubrication_health_index,0,0.0
production_efficiency,0,0.0
quality_factor,0,0.0
