column,data_type
row_id,int64
timestamp,datetime64[us]
train,str
equipment_id,str
equipment_name,str
equipment_type,str
area,str
manufacturer,str
criticality,str
commission_year,int64
asset_age_years,float64
operating_state,str
hours_since_maint,float64
cumulative_op_hours,float64
bearing_temperature,float64
rpm,float64
vibration,float64
overall_vibration,float64
motor_current,float64
oil_pressure,float64
oil_particles_ppm,float64
bearing_index,float64
discharge_pressure,float64
feed_gas_pressure,float64
lng_output_tph,float64
ambient_temperature,float64
load_factor,float64
rul_days,float64
rul_censored,bool
failure_within_24h,int64
failure_within_72h,int64
failure_within_7d,int64
is_running,bool
wear_level,float64
wear_state,str
failure_rate,float64
lubrication_health_index,float64
production_efficiency,float64
quality_factor,float64
