Feature,Mean_Absolute_SHAP
vibration,0.06891038992862152
overall_vibration,0.06566058709002034
oil_particles_ppm,0.037169061238553604
lubrication_health_index,0.029200868869456862
oil_pressure,0.027812636178608505
production_efficiency,0.027681044465256703
cumulative_op_hours,0.027025306637669763
wear_level,0.026035917150714516
hours_since_maint,0.02555733105623266
bearing_index,0.023012044924571238
bearing_temperature,0.020441496053835165
discharge_pressure,0.019474571349090447
asset_age_years,0.01887190955101245
motor_current,0.015616434408257428
feed_gas_pressure,0.014866565241806453
rpm,0.014727489739225934
quality_factor,0.013545572881927455
lng_output_tph,0.0132564003155396
load_factor,0.012115137771831114
ambient_temperature,0.00571977673870563
commission_year,0.002115193690820645
missingindicator_overall_vibration,0.001028657318063019
missingindicator_vibration,0.0006826429529672188
missingindicator_load_factor,0.0006230519076676874
missingindicator_oil_particles_ppm,0.00029983309354111116
missingindicator_oil_pressure,0.00021657995868542033
missingindicator_rpm,0.00020224841005311265
missingindicator_bearing_index,0.0001859598962360863
missingindicator_discharge_pressure,0.00017422087316610693
missingindicator_bearing_temperature,0.00017122815955416176
missingindicator_motor_current,0.0001641205945991976
missingindicator_feed_gas_pressure,0.00010614765954270064
missingindicator_lng_output_tph,9.337905201033334e-05
missingindicator_ambient_temperature,8.952275147990115e-05
missingindicator_hours_since_maint,1.626483840717861e-05
